,PWSID,COUNTY_SERVED
301715,NJ0108008,
301716,NJ0108008,Atlantic
301975,WV3302911,
301976,WV3302911,Mineral
302065,NJ0811003,
302066,NJ0811003,Gloucester
302260,AZ0415101,La Paz
302261,AZ0415101,
302264,AZ0415103,La Paz
302265,AZ0415103,
302274,GA2770026,
302275,GA2770026,Tift
302331,NM3556109,Grant
302332,NM3556109,
302709,SC0272006,
302710,SC0272006,Aiken
302734,KY1182561,Whitley
303095,IA3130801,
303096,IA3130801,Dubuque
303205,AZ0401009,
303231,NM3507029,Taos
303232,NM3507029,
303235,NM3526704,Colfax
303236,NM3526704,
303508,AZ0415497,La Paz
303509,AZ0415497,
304053,AZ0401009,Apache
304114,NM3504026,Santa Fe
304115,NM3504026,
304235,ID5320011,
304268,PA7380329,Lebanon
304381,AZ0415509,La Paz
304382,AZ0415509,
304493,NE3150703,
304494,NE3150703,York
304510,ID3140105,Canyon
304512,PR0005426,
304513,PR0005426,Caguas Municipio
304611,LA1049018,Jackson Parish
304616,LA1051002,Jefferson Parish
304656,ID3140208,Canyon
304675,PA2451093,Monroe
304678,MT0004017,
304700,LA1073108,Ouachita Parish
305187,KY0672553,Letcher
305208,PA7360087,Lancaster
305771,ID4010087,Ada
305803,PR0002652,Arecibo Municipio
305805,PR0002652,
305815,PR0002682,Quebradillas Municipio
305816,PR0002682,
306397,ME0300949,
306398,ME0300949,Sagadahoc
306401,OH4243112,Knox
306448,IL3063438,McHenry
306551,IN2830801,
306552,IN2830801,Vermillion
306672,CA3601055,San Bernardino
306816,NM3529007,Dona Ana
306817,NM3529007,
306822,NM3594332,Valencia
306823,NM3594332,
306827,NM3556212,Hidalgo
306828,NM3556212,
306833,NM3504526,Santa Fe
306834,NM3504526,
307199,OK4001472,Cleveland
307371,ID5320011,Lincoln
307603,TX0010019,Anderson
307869,NC0326368,
307871,NC0326368,Cumberland
308344,NJ2103307,
308345,NJ2103307,Warren
308469,OH2100711,Delaware
308500,NM3508817,McKinley
308501,NM3508817,
308506,NM3548201,Bernalillo
308507,NM3548201,
308537,IA3126209,
308539,IA3126209,Dubuque
308843,AZ0420583,
308844,AZ0420583,Pima
308863,NM3592708,Eddy
308864,NM3592708,
308871,NM3523728,Socorro
308872,NM3523728,
308885,NM3526604,Colfax
308886,NM3526604,
308893,NM3540007,Dona Ana
309039,AZ0402032,
309040,AZ0402032,Cochise
309205,PR0004664,Villalba Municipio
309206,PR0004664,
309438,NM3511701,Bernalillo
309439,NM3511701,
309456,NM3507629,Taos
309457,NM3507629,
309458,NM3561101,Bernalillo
309459,NM3561101,
309726,ID5420053,Twin Falls
309827,NM3540007,
310174,NE3150002,Adams
310175,NE3150002,
310622,NM3572926,Santa Fe
310623,NM3572926,
310752,NM3593921,
310753,NM3593921,Rio Arriba
310810,AL0000771,
310811,AL0000771,Lamar
310853,TX1650096,Midland
311212,OH2530512,Franklin
311245,OH2555412,Franklin
311639,CA2701227,Monterey
311677,NM3502407,Dona Ana
311678,NM3502407,
311691,NM3502507,Dona Ana
312269,AZ0412036,
312270,AZ0412036,Santa Cruz
312421,NV0002191,Humboldt
312450,NM3590732,Valencia
312451,NM3590732,
312454,NM3503926,Santa Fe
312455,NM3503926,
312460,NM3502421,Rio Arriba
312461,NM3502421,
312554,OK2004174,Lincoln
312618,NM3502507,
312625,NM3504121,Rio Arriba
312626,NM3504121,
312808,AZ0420534,Pima
312809,AZ0420534,
312824,NC2080044,
312825,NC2080044,Rowan
312838,NM3541707,Dona Ana
312839,NM3541707,
312840,NM3536126,Santa Fe
312841,NM3536126,
313074,AZ0411204,
313265,TX0250032,Brown
313365,IA2900600,
313366,IA2900600,Des Moines
313392,OH6705812,Portage
313404,NM3510623,Sandoval
313405,NM3510623,
313408,NM3535021,Rio Arriba
313409,NM3535021,
313410,NM3535123,Sandoval
313411,NM3535123,
313497,NM3594426,Santa Fe
313498,NM3594426,
313499,NM3511524,San Juan
313500,NM3511524,
313590,TX1013287,Harris
313762,NM3521613,Lea
313763,NM3521613,
313774,NM3581623,Sandoval
313775,NM3581623,
313776,NM3575530,Torrance
313777,NM3575530,
313823,AZ0413307,Yavapai
313824,AZ0413307,
313831,AZ0413320,Yavapai
313834,AZ0413320,
314052,NM3500825,San Miguel
314053,NM3500825,
314061,NM3566026,Santa Fe
314062,NM3566026,
314070,NM3526204,Colfax
314071,NM3526204,
314313,GA2370074,Putnam
314315,AZ0411204,Pinal
314357,AZ0413056,Yavapai
314358,AZ0413056,
314596,NE3150277,
314597,NE3150277,Garden
314646,IA2413001,Crawford
314647,IA2413001,
314895,TX1520155,Lubbock
315577,IA7048732,Muscatine
315578,IA7048732,
315691,MI2044861,
315692,MI2044861,Muskegon
315693,MI2044861,
315749,AZ0413351,Yavapai
315841,NM3502007,Dona Ana
315842,NM3502007,
315894,NM3528020,Quay
315895,NM3528020,
315896,NM3514019,Otero
315897,NM3514019,
315898,NM3550905,Curry
315899,NM3550905,
315923,AZ0413100,
315924,AZ0413100,Yavapai
316145,NM3510124,San Juan
316146,NM3510124,
316155,NM3525033,Cibola
316156,NM3525033,
316291,NM3502426,Rio Arriba
316292,NM3502426,
316451,NM3595333,Cibola
316452,NM3595333,
316457,NM3504226,Santa Fe
316524,OH7602412,Stark
316695,IA3900300,
316696,IA3900300,Guthrie
316736,AZ0414399,
316737,AZ0414399,Yuma
316854,NY3800156,Otsego
316855,NY3800156,
317150,WV9950092,
317151,WV9950092,Wayne
317668,NE3121157,Hall
317669,NE3121157,
317670,NE3121160,Morrill
317671,NE3121160,
317679,NE3121164,Seward
317929,IA8144817,
317935,IA8144817,Sac
318014,AZ0411123,
318164,NM3510732,Valencia
318165,NM3510732,
318457,IA2279101,Clayton
318541,AZ0413345,Yavapai
318542,AZ0413345,
318545,AZ0413348,Yavapai
318572,ID1090144,Bonner
318708,IA2279101,
318796,ID1090085,Bonner
319104,PA1090142,Bucks
319294,TX1610012,Matagorda
319317,NE3107910,Hall
319318,NE3107910,
319399,AZ0413348,
319441,NC0472015,
319442,NC0472015,Perquimans
319716,NJ1808346,
319717,NJ1808346,Somerset
319778,ID3140017,Canyon
319950,NE3120700,Sherman
319951,NE3120700,
319975,NE3120719,Webster
319976,NE3120719,
319977,NE3120720,Box Butte
319978,NE3120720,
319979,NE3120726,Saunders
319980,NE3120726,
320019,CA1907036,Los Angeles
320102,TX0460206,Comal
320460,AZ0413074,Yavapai
320461,AZ0413074,
320462,AZ0413075,Yavapai
320463,AZ0413075,
320464,AZ0413077,Yavapai
320465,AZ0413077,
320466,AZ0413078,Yavapai
320467,AZ0413078,
320470,AZ0413081,Yavapai
320472,AZ0413081,
320608,OH4502112,Licking
320621,OH4534812,Licking
320708,AZ0413082,Yavapai
320709,AZ0413082,
320710,AZ0413083,Yavapai
320711,AZ0413083,
320712,AZ0413084,Yavapai
320713,AZ0413084,
320720,AZ0413095,Yavapai
320721,AZ0413095,
320726,AZ0413103,Yavapai
320727,AZ0413103,
320728,AZ0413104,Yavapai
320730,AZ0413104,
320731,AZ0413105,Yavapai
320739,AZ0413105,
320740,AZ0413106,Yavapai
320817,NM3501707,
320820,NM3501707,Dona Ana
320910,NE3120732,Scotts Bluff
320912,NE3120732,
320915,NE3120740,Dawes
320916,NE3120740,
321013,PA2080335,Bradford
321171,NE3120752,Hamilton
321179,NE3120752,
321187,NE3120757,Lancaster
321259,NM3590009,Grant
321260,NM3590009,
321261,NM3575330,Torrance
321262,NM3575330,
321279,NM3523016,Luna
321280,NM3523016,
321386,NM3557713,Lea
321387,NM3557713,
321390,NM3540307,Dona Ana
321391,NM3540307,
321479,NM3595407,
321480,NM3595407,Dona Ana
321900,OR4100376,Umatilla
322112,PA7011021,Adams
322347,PA5320350,Indiana
322398,NY1915264,Greene
322399,NY1915264,
323130,AZ0411123,Pinal
323463,NE3120461,York
323464,NE3120461,
323764,NE3120191,Hamilton
323765,NE3120191,
323841,TN0000338,Washington
323842,TN0000338,
324343,TX1650126,Midland
324373,TX2400009,Webb
324508,AZ0420331,
324509,AZ0420331,Pima
324710,DE00A0237,
324711,DE00A0237,Kent
324751,OH2349912,Fairfield
324908,ID6030032,Bannock
324935,PR0005206,
324937,PR0005206,
324940,PR0005206,Yabucoa Municipio
325163,CO0102400,Alamosa
325600,NE3120411,
325601,NE3120411,Colfax
326016,NV0000361,Lyon
326047,IA3383203,
326048,IA3383203,Fayette
326128,OH2843812,Geauga
326382,IA7820203,
326383,IA7820203,Pottawattamie
326446,PA2450951,Monroe
326749,NE3121057,Fillmore
326750,NE3121057,
326781,NE3100101,Adams
326782,NE3100101,
326874,NE3130003,Adams
326875,NE3130003,
327148,NE3150001,Clay
327215,OH8445412,Washington
327718,NY6101261,Yates
327920,SC0260037,
327921,SC0260037,Aiken
327929,IA1415101,
327930,IA1415101,Carroll
327983,NE3120840,Dawes
327985,NE3120840,
328216,OH7049712,Richland
328219,GA2050005,
328220,GA2050005,Mitchell
328221,IN2500038,
328222,IN2500038,Marshall
328238,NE3150015,Antelope
328239,NE3150015,
328242,NE3150021,Arthur
328243,NE3150021,
328250,NE3150038,Box Butte
328251,NE3150038,
328359,NE3121261,Boone
328361,NE3121261,
328500,MT0004017,Yellowstone
328614,NE3121262,Colfax
328615,NE3121262,
328635,NE3121279,Loup
328636,NE3121279,
328649,NE3121284,Platte
328652,NY6101261,
328815,NE3120356,Clay
328816,NE3120356,
328825,PA2080861,Bradford
328904,IA1103101,
328905,IA1103101,Buena Vista
328936,PA2451030,Monroe
328969,NE3120907,Hitchcock
328970,NE3120907,
328973,NE3120923,Madison
328977,NE3120923,
329012,MI2147125,Genesee
329249,NE3121208,Saunders
329250,NE3121208,
329360,NE3120235,Hall
329361,NE3120235,
330153,NJ1714309,Salem
330154,NJ1714309,
330288,TN0000469,Giles
330411,NE3150122,Colfax
330412,NE3150122,
330417,NE3150136,Cuming
330418,NE3150136,
330678,CA5100139,Sutter
330864,NE3120783,Sarpy
330865,NE3120783,
330919,OK2005710,Osage
330926,MI2194763,Oakland
331066,NY3830127,Otsego
331067,NY3830127,
331152,MI2010333,
331153,MI2010333,Ingham
331154,MI2010333,
331391,NY2630011,Madison
331686,NE3150698,York
331687,NE3150698,
331688,NE3150708,York
331689,NE3150708,
331824,TX1780048,Nueces
331825,TX1780050,Nueces
331928,NE3190006,Cass
331929,NE3190006,
331954,NE3190033,York
332132,ID2250056,Idaho
332250,CT0780404,
332251,CT0780404,Tolland
332252,NJ1107323,
332253,NJ1107323,Mercer
332462,NY1330514,Dutchess
332463,NY1330514,
332651,OK3006137,Pittsburg
332730,TN0000845,Jackson
332783,NE3120962,Clay
332785,NE3120962,
332829,NE3121104,Dawson
332830,NE3121106,Pierce
332832,NE3121104,
332911,NE3121044,Saline
332912,NE3121044,
332915,NE3121047,Dawson
332916,NE3121047,
332945,NY0330071,Broome
332946,NY0330071,
333071,MT0001409,
333072,MT0001409,Judith Basin
333111,TN0000928,Crockett
333337,OK3001001,Carter
333343,OH8563712,Wayne
333351,PA7360387,Lancaster
333762,NE3121106,
334037,NE3121132,Holt
334044,NE3121132,
334319,TN0000758,Montgomery
334359,TN0002387,Monroe
334531,OK2003625,Kay
334550,NE3121098,
334552,NE3121098,Buffalo
334720,055294403,
334779,NY4430137,St. Lawrence
334780,NY4430137,
334781,NY4430138,St. Lawrence
334782,NY4430138,
335188,NE3150339,Hamilton
335189,NE3150339,
335204,NE3150373,Keith
335205,NE3150373,
335207,NE3150378,Keith
335208,NE3150378,
335215,NE3150397,Lancaster
335216,NE3150397,
335303,WA5304460,Franklin
335322,NE3150458,Loup
335323,NE3150458,
335326,NE3150461,McPherson
335327,NE3150461,
335539,PA7010052,Adams
335585,NE3150539,Platte
335586,NE3150539,
335602,NE3150566,Sarpy
335603,NE3150566,
335604,NE3150577,Platte
335606,NE3150577,
335607,NE3150587,Saunders
335608,NE3150587,
335615,NE3150608,Scotts Bluff
335616,NE3150608,
335617,NE3150617,Scotts Bluff
335619,NE3150617,
335720,NY2622401,Madison
335721,NY2622401,
335868,NY4130293,Rensselaer
336010,AZ0411036,
336013,AZ0411038,Pinal
336014,AZ0411038,
336015,AZ0411039,Pinal
336016,AZ0411039,
336017,AZ0411042,Pinal
336019,AZ0411042,
336024,AZ0411052,Pinal
336025,AZ0411052,
336033,AZ0411069,Pinal
336034,AZ0411069,
336141,AZ0408077,Mohave
336142,AZ0408077,
336150,AZ0408081,Mohave
336151,AZ0408081,
336156,OK2007737,Woodward
336168,NE3115106,Saline
336169,NE3115106,
336182,NE3115305,Sarpy
336183,NE3115305,
336272,VA3093324,Isle of Wight
336281,AZ0411085,Pinal
336282,AZ0411085,
336283,AZ0411087,Pinal
336284,AZ0411087,
336289,AZ0411092,Pinal
336290,AZ0411092,
336291,AZ0411097,Pinal
336315,MS0760009,Washington
336319,055295501,
336426,NE3115504,Saunders
336427,NE3115504,
336436,NE3115509,Saunders
336437,NE3115509,
336444,MO6036279,Lincoln
336445,MO6036279,
336448,NE3115515,Saunders
336449,NE3115515,
336452,NE3115701,Scotts Bluff
336453,NE3115701,
336454,NE3115702,Scotts Bluff
336455,NE3115702,
336462,NE3115708,Scotts Bluff
336464,NE3115708,
336465,NE3115710,Scotts Bluff
336902,CT0180161,
336903,CT0180161,Fairfield
337061,NJ1502001,
337062,NJ1502001,Gloucester
337095,AZ0408082,Mohave
337099,AZ0408082,
337242,WV3301010,
337243,WV3301010,Fayette
337428,CO0258003,Sedgwick
337621,MI2041413,Calhoun
337982,NJ0614313,
337983,NJ0614313,Cumberland
338034,OK2000118,Adair
338035,OK2000435,Beaver
338076,NY5730102,Washington
338077,NY5730102,
338118,MT0004752,Lewis and Clark
338350,MT0003014,
338351,MT0003014,Teton
338383,OH7050512,Richland
338475,PA2451119,Monroe
338487,CA1502273,Kern
338850,NE3113707,Phelps
338851,NE3113707,
338854,NE3113902,Pierce
338855,NE3113902,
338857,NE3113903,Pierce
338858,NE3113903,
338861,NE3114101,Platte
338862,NE3114101,
338865,NE3114103,Platte
338866,NE3114103,
338867,NE3114104,Platte
338868,NE3114104,
338869,NE3114106,Platte
338870,NE3114106,
338873,NE3114110,Platte
338874,NE3114110,
338875,AZ0411086,
338876,AZ0411086,Pinal
338903,CT0189063,
338904,CT0189063,Fairfield
338910,IA5221101,
338911,IA5221101,Johnson
339035,NY3830143,Otsego
339036,NY3830143,
339168,LA1045017,Iberia Parish
339453,OK1020612,Pittsburg
339544,NC0382539,
339545,NC0382539,Sampson
339780,AZ0408046,Mohave
339781,AZ0408046,
339797,AZ0408064,Mohave
339798,AZ0408064,
339810,NE3114113,Platte
339811,NE3114113,
339814,NE3114301,Polk
339815,NE3114301,
339820,LA1127007,Winn Parish
339975,NE3120938,Buffalo
339976,NE3120938,
340080,NE3114505,Red Willow
340081,NE3114505,
340084,NE3114701,Richardson
340085,NE3114701,
340086,NE3114702,Richardson
340087,NE3114702,
340110,NE3115102,Saline
340112,NE3115102,
340117,NE3115103,Saline
340118,NE3115103,
340250,AZ0420098,
340251,AZ0420098,Pima
340261,AZ0411030,Pinal
340262,AZ0411030,
340263,AZ0411031,Pinal
340264,AZ0411031,
340267,AZ0411035,Pinal
340268,AZ0411035,
340274,AZ0411024,Pinal
340275,AZ0411024,
340276,AZ0411036,Pinal
340350,LA1073112,Ouachita Parish
340354,MS0760026,Washington
340582,NY4130293,
340762,AZ0408072,Mohave
340763,AZ0408072,
340846,MO6010258,St. Louis
340850,MO6010258,
341041,MT0002892,
341042,MT0002892,Cascade
341094,TX1540014,McCulloch
341100,PA1150751,Chester
341168,NE3121284,
341177,NE3121294,Cherry
341178,NE3121294,
341183,NE3121298,Seward
341184,NE3121298,
341252,NY3401151,Ontario
341253,NY3401151,
341299,NJ0436485,
341300,NJ0436485,Camden
341470,NM3598501,
341471,NM3598501,Bernalillo
341597,CT0180111,
341598,CT0180111,Fairfield
341600,CT0180221,
341601,CT0180221,Fairfield
341602,CT0181031,
341603,CT0181031,Fairfield
341605,CT0181441,
341606,CT0181441,Fairfield
341607,CT0187021,
341608,CT0187021,Fairfield
341827,NY3503588,Orange
341828,NY3503588,
341958,NY4530252,Saratoga
341959,NY4530252,
342025,CO0160800,Teller
342128,NE3111054,Morrill
342129,NE3111054,
342196,TX0730016,Falls
342230,MI2007512,
342231,MI2007512,Branch
342232,MI2007512,
342277,LA1031028,De Soto Parish
342303,NJ1711303,
342304,NJ1711303,Salem
342393,NE3121334,Kearney
342397,NE3121334,
342400,NE3121341,Morrill
342403,NE3121341,
342415,NE3121348,Cass
342418,NE3121348,
342431,ID3140242,Canyon
342499,MT0002093,
342500,MT0002093,Lewis and Clark
342562,CT1150204,
342563,CT1150204,New Haven
342871,PA2450623,Monroe
343235,LA1113030,Vermilion Parish
343277,OH2503312,Franklin
343331,NY1018149,Columbia
343332,NY1018149,
343345,NY1021889,Columbia
343346,NY1021889,
343362,NE3121355,York
343363,NE3121355,
343762,AZ0413412,
343763,AZ0413412,Yavapai
343842,NY3503549,Orange
343843,NY3503549,
343871,PA4290323,Fulton
343873,PA4290344,Fulton
343890,KY0132267,Breathitt
343893,MT0001540,
343894,MT0001540,Sheridan
344210,OH1237512,Clark
344305,NY3202470,Oneida
344306,NY3202470,
344565,PA4290808,Fulton
344737,MI2015435,
344755,NJ0614002,Cumberland
344756,NJ0614002,
344835,NY0232120,Allegany
344836,NY0232120,
344924,NV0000195,Washoe
345171,PA2450571,Monroe
345311,AR0000605,Yell
345319,NY4700093,Schoharie
345320,NY4700093,
345321,NY4700093,
345553,NE3109903,
345554,NE3109903,Kearney
345735,AZ0402390,
345736,AZ0402390,Cochise
345788,AZ0408129,Mohave
345789,AZ0408129,
345810,AZ0408149,Mohave
345811,AZ0408149,
345936,NE3108106,Hamilton
345942,NE3108106,
345948,NE3108304,Harlan
345949,NE3108304,
345950,NE3108305,Harlan
345951,NE3108305,
346027,NJ0605300,
346238,LA1015012,Bossier Parish
346555,AZ0410006,Pima
346685,OH5542712,Miami
346694,AZ0408307,Mohave
346695,AZ0408307,
346768,NJ0436314,
346769,NJ0436314,Camden
346770,NJ0605300,Cumberland
346771,MI2163625,Genesee
346792,AZ0410006,
346823,MI2019012,Branch
346919,NE3108908,Holt
346920,NE3108908,
346951,AZ0408355,Mohave
346952,AZ0408355,
346957,AZ0408701,Mohave
346958,AZ0408701,
346963,CO0145240,Otero
346965,AZ0408704,Mohave
346966,AZ0408704,
346971,AZ0409001,Navajo
346972,AZ0409001,
347162,MI2001012,
347168,MI2001012,Branch
347169,MI2001012,
347184,NE3109502,Jefferson
347186,NE3109502,
347232,OK3005722,Osage
347312,NM3516807,Dona Ana
347313,NM3516807,
347331,OH8037912,Union
347364,TX1870012,Polk
347365,TX1870013,Polk
347368,TX1870020,Polk
347371,TX1870025,Polk
347373,TX1870027,Polk
347477,NY4710781,Schoharie
347478,NY4710781,
347630,CO0262508,Weld
347706,MI2999909,Bay
347771,NV0000047,Churchill
347949,NJ0605308,
347950,NJ0605308,
347951,NJ0605308,Cumberland
348006,TX1520027,Lubbock
348037,NY1200251,Delaware
348038,NY1200251,
348055,NY5000755,Steuben
348056,NY5000755,
348067,NY5001208,Steuben
348068,NY5001208,
348173,KY0152087,Bullitt
348342,TX1870068,Polk
348345,NY4717919,Schoharie
348346,NY4717919,
348351,NY4721656,Schoharie
348352,NY4721656,
348382,NY4901195,Seneca
348383,NY4901195,
348516,OH1630212,Coshocton
348584,LA1073048,Ouachita Parish
348592,TX1870093,Polk
348760,CT0261021,
348832,NY1302116,Dutchess
348833,NY1302116,
348955,AZ0409039,Navajo
348957,AZ0409039,
348958,AZ0409040,Navajo
348959,AZ0409040,
348960,AZ0409041,Navajo
349082,IA4830036,Iowa
349083,IA4830036,
349193,AZ0409041,
349275,AZ0414361,
349276,AZ0414361,Yuma
349289,CO0230517,Jefferson
349322,NY4910589,Seneca
349323,NY4910589,
349415,IL3066886,Kane
349755,LA2019141,Calcasieu Parish
349824,NJ1813303,
349825,NJ1813303,Somerset
350004,OK2005209,Noble
350101,TX0660021,Duval
350109,NJ1352004,
350110,NJ1352004,Monmouth
350239,PA7361022,Lancaster
350245,NJ0612303,Cumberland
350246,NJ0612303,
350394,TN0000088,Pickett
350395,TN0000088,
350398,TN0000094,Carter
350399,TN0000094,
350400,TN0000094,
350423,AZ0408090,Mohave
350424,AZ0408090,
350463,MI2020652,Marquette
350565,NE3107902,Hall
350566,NE3107902,
350570,NE3107906,Hall
350571,NE3107906,
350574,NE3107909,Hall
350575,NE3107909,
350578,NE3108102,Hamilton
350581,NE3108102,
350584,NV0000249,Humboldt
350695,NE3121414,Dodge
350696,NE3121414,
350861,PA7360352,Lancaster
350877,AZ0411060,
350900,NY4430124,St. Lawrence
350901,NY4430124,
351194,NE3118302,Webster
351196,NE3118302,
351218,NY3503578,Orange
351222,NY3503578,
351237,NY5201348,Sullivan
351238,NY5201348,
351440,NE3118701,York
351441,NE3118701,
351773,NY4530219,Saratoga
351774,NY4530219,
351795,NY0600395,Chautauqua
351796,NY0600395,
351847,TX1500117,Llano
351878,CT0493011,
351879,CT0493011,Hartford
351911,NE3121430,Dodge
351912,NE3121430,
351929,NE3121442,Platte
351930,NE3121442,
351985,NY2501017,Livingston
351986,NY2501017,
351987,NY2501019,Livingston
351988,NY2501019,
351991,NY2501021,Livingston
351992,NY2501021,
351997,NY2501027,Livingston
351998,NY2501027,
352023,PA7670098,York
352442,AZ0408061,
352443,AZ0408061,Mohave
352533,IL3046490,Winnebago
352687,CA3901164,San Joaquin
352729,NY0600812,Chautauqua
352730,NY0600812,
352735,NY0600823,Chautauqua
352736,NY0600823,
352745,NY0600899,Chautauqua
352746,NY0600899,
352819,IA5221801,
352820,IA5221801,Johnson
352838,AZ0410051,Pima
352839,AZ0410051,
352849,AZ0410063,Pima
352850,AZ0410063,
352868,AZ0410076,Pima
352869,AZ0410076,
352878,AZ0410098,Pima
352879,AZ0410098,
352998,PA2451002,Monroe
353048,NY3300991,Onondaga
353049,NY3300991,
353340,CT0493011,
353490,NE3115710,
353680,NY0512920,Cayuga
353681,NY0512920,
353682,NY0512920,
353834,NE3116906,Thayer
353836,NE3116906,
353858,NE3117502,Valley
353859,NE3117502,
353865,OK3003909,Latimer
353890,CT0189473,
353891,CT0189473,Fairfield
354416,CA5100102,Sutter
354424,NE3115717,Scotts Bluff
354425,NE3115717,
354434,NE3115907,Seward
354435,NE3115907,
354436,NE3115909,Seward
354437,NE3115909,
354445,NE3115912,Seward
354446,NE3115912,
354663,NY0700770,Chemung
354664,NY0700770,
354700,NE3116501,Sioux
354701,NE3116501,
354711,NE3116903,Thayer
354712,NE3116903,
354730,OK3000905,Canadian
354740,NJ0818468,
354741,NJ0818468,Gloucester
354817,PA7360559,Lancaster
354898,AZ0411060,Pinal
354991,GA1850113,
354992,GA1850113,Lowndes
355002,CT0261021,Middlesex
355075,NE3117906,Washington
355077,NE3117906,
355106,NE3118104,Wayne
355107,NE3118104,
355253,IL0935300,Kendall
355254,IL0935300,
355365,NY0700788,Chemung
355366,NY0700788,
355401,OK4001484,Cleveland
355548,NY2600976,Madison
355549,NY2600976,
355631,AZ0410164,Pima
355656,AZ0410164,
355705,NE3120455,Red Willow
355708,NE3120455,
355725,NE3120502,Pierce
355806,WA5301874,Pierce
355826,PA4410002,Lycoming
356160,NE3118703,York
356161,NE3118703,
356162,NE3118704,York
356163,NE3118704,
356167,NE3118706,York
356168,NE3118706,
356186,NE3120023,Hitchcock
356187,NE3120023,
356207,NE3120044,Harlan
356269,NM3500201,
356270,NM3500201,Bernalillo
356530,MI2009157,
356531,MI2009157,Missaukee
356532,MI2009157,
357051,PA4310875,Huntingdon
357138,NE3120044,
357225,TN0000405,Overton
357226,TN0000405,
357233,TN0000415,Union
357234,TN0000415,
357332,MI2015335,
357333,MI2015335,Iosco
357334,MI2015335,
357335,MI2015435,
357336,MI2015435,Iosco
357411,NE3120100,Howard
357412,NE3120100,
357424,NE3120111,Lancaster
357425,NE3120111,
357437,NE3120144,York
357438,NE3120144,
357442,NE3120148,Hamilton
357443,NE3120148,
357446,NJ0205300,
357447,NJ0205300,Bergen
357448,NE3120150,Platte
357493,AZ0410271,Pima
357533,AZ0410118,Pima
357534,AZ0410118,
357545,AZ0410136,Pima
357546,AZ0410136,
357751,NC0363117,Moore
357752,NC0363117,
357956,OK2004454,Major
358070,OR4195252,Linn
358128,NE3120233,Hall
358130,NE3120233,
358131,NE3120259,Lancaster
358132,NE3120259,
358138,NE3120270,Platte
358139,NE3120270,
358146,AZ0410218,Pima
358147,AZ0410218,
358225,NY2902817,Nassau
358226,NY2902817,
358268,NY5404412,Tompkins
358269,NY5404412,
358276,NY5404419,Tompkins
358277,NY5404419,
358312,SC1360019,Chesterfield
358376,NE3120150,
358397,NE3120168,Hamilton
358398,NE3120168,
358402,AZ0410142,Pima
358403,AZ0410142,
358404,AZ0410144,Pima
358405,AZ0410144,
358536,AZ0407123,
358537,AZ0407123,Maricopa
358638,NE3120182,Buffalo
358639,NE3120182,
358641,NE3120193,Madison
358646,NE3120193,
358648,NE3120195,York
358649,NE3120195,
358657,KS2005545,Haskell
358658,KS2005545,
358693,NY4519111,Saratoga
358694,NY4519111,
358975,NY4523020,Saratoga
358976,NY4523020,
359074,IA3554505,
359082,NE3120303,Cedar
359084,NE3120303,
359201,NY2530005,Livingston
359202,NY2530005,
359253,NJ1113308,
359256,NJ1113308,Mercer
359354,NE3120372,Adams
359355,NE3120372,
359358,NE3120385,York
359359,NE3120385,
359434,CT0180081,
359435,CT0180081,Fairfield
359573,NY3233160,Oneida
359574,NY3233160,
359843,MO6061615,St. Louis
359862,NY3730196,Oswego
359863,NY3730196,
359868,VA2069773,Frederick
359927,NY4600064,Schenectady
359928,NY4600064,
360127,TX1700811,Montgomery
360167,NY0900223,Clinton
360168,NY0900223,
360306,IA5600947,
360307,IA5600947,Lee
360312,NE3120403,Platte
360313,NE3120403,
360315,NE3120426,Fillmore
360316,NE3120426,
360616,NE3113110,Otoe
360617,NE3113110,
360642,NJ0607300,
360643,NJ0607300,Cumberland
360846,NE3109701,Johnson
360847,NE3109701,
360873,NE3113502,Perkins
360874,NE3113502,
360910,NE3113705,Phelps
360917,NE3113705,
361137,AZ0410271,
361321,083090050,
361323,LA1073038,Ouachita Parish
361541,LA1017010,Caddo Parish
361678,WY5600187,Platte
361680,WY5600187,
361695,WY5600110,Niobrara
361696,WY5600110,
361699,WY5600109,Niobrara
361700,WY5600109,
361713,OK7005506,Oklahoma
361783,NE3109703,Johnson
361784,NE3109703,
361793,NE3109901,Kearney
361794,NE3109901,
362040,NE3110101,Keith
362045,NE3110101,
362069,NE3110704,Knox
362070,NE3110704,
362071,NE3110705,Knox
362072,NE3110705,
362088,NE3110903,Lancaster
362089,NE3110903,
362090,NE3110904,Lancaster
362091,NE3110904,
362416,TX0680232,Ector
362705,OK1221636,Wagoner
362713,CA3601130,San Bernardino
362948,WY5600097,Sweetwater
362949,WY5600097,
363027,NE3110908,Lancaster
363028,NE3110908,
363035,NE3110912,Lancaster
363037,NE3110912,
363038,NE3110913,Lancaster
363039,NE3110913,
363083,MI2106463,
363084,MI2106463,Oakland
363085,MI2106463,
363136,PA7671038,York
363163,GA2250033,Peach
363262,CA3601060,San Bernardino
363275,CA2000614,Madera
363296,MT0000102,
363297,MT0000102,Big Horn
363330,NE3111915,Madison
363331,NE3111915,
363403,TN0000230,Houston
363404,TN0000230,
363598,AZ0410357,Pima
363599,AZ0410357,
363619,AZ0411004,Pinal
363620,AZ0411004,
363621,AZ0411005,Pinal
363622,AZ0411005,
363625,AZ0411012,Pinal
363627,AZ0411012,
363628,AZ0411017,Pinal
363629,AZ0411017,
363755,NJ1922014,
363756,NJ1922014,Sussex
363780,TX0150553,Bexar
