PWSID,FACILITY_ID,FACILITY_NAME,FACILITY_ACTIVITY_CODE,FACILITY_TYPE_CODE,WATER_TYPE_CODE
ARN000188,4343,HIGHFILL WATER DEPARTMENT,A,CC,SW
ARN000188,3447,NW ARKANSAS REGIONAL AIRPORT,A,DS,
AR0000413,2544,CEDAR CREEK IMPONDMENT,A,IN,SW
AR0000413,2983,PERRYVILLE WATERWORKS,A,DS,
AR0000413,282,PERRYVILLE WATERWORKS,A,TP,
AR0000851,4260,BOONEVILLE WATERWORKS,A,CC,SW
AR0000851,3306,SOUTH LOGAN COUNTY WATER,A,DS,
AR0000410,3973,PERRYVILLE WATERWORKS,A,CC,SW
AR0000410,4384,PLEASANT VALLEY BOOSTER STATION,I,TP,
AR0000410,2980,WYE MOUNTAIN WATER ASSOCIATION,A,DS,
AR0000867,3317,N GARLAND CO REG WATER DIST,A,DS,
AR0000868,3318,SEVIER CO WATER ASSOCIATION,A,DS,
AL0001513,6603,DISTRIBUTION SYSTEM,A,DS,
AL0001513,7405,THOMASVILLE WATER WORKS & SEWER BO-MM 1,A,CC,SW
AL0000233,6920,SUMTER COUNTY WATER AUTHORITY-MM 1,A,CC,GW
CA2400248,61807,WELL NO. 1,A,WL,GW
PA7360113,311,WELL F AND M TP,A,TP,
PA7360778,301,TREATMENT BUILDING,A,TP,
AL0000178,296,COUNTY TANK,A,ST,
AL0000178,5734,DISTRIBUTION SYSTEM,A,DS,
AL0000178,299,FIRE STATION TANK,A,ST,
AL0000178,2681,LAFAYETTE TREATMENT PLANT,A,TP,
AL0000573,6003,DISTRIBUTION SYSTEM,A,DS,
AR0000580,3118,PANGBURN WATERWORKS,A,DS,
AL0000162,8671,BETTA VIEW BOOSTER PUMP,A,PF,
AL0001005,7695,COTTAGE HILL PUMP STATION,A,PF,
AL0001005,6287,DISTRIBUTION SYSTEM,A,DS,
AL0001005,1592,EAST RESERVOIR 1,A,ST,
AL0001005,1593,EAST RESERVOIR 2,A,ST,
AL0001005,5519,J.B. CONVERSE LAKE (MYERS),A,IN,SW
AL0001005,1605,JOHNSON ROAD TANK,A,ST,
AL0001005,1600,MOFFAT AND SCHILLINGER TANK,A,ST,
AL0001005,8761,SOUTH ALABAMA UTILITIES,A,CC,GW
AL0001213,6419,DISTRIBUTION SYSTEM,A,DS,
AL0001213,1893,TANK - MCHUGH ST #1,A,ST,
MT0004896,21268,TREATMENT PLANT,A,TP,
AL0000321,490,AVALON,I,ST,
AL0000321,486,BRIGHTON,A,ST,
AL0000321,5838,DISTRIBUTION SYSTEM,A,DS,
AL0000321,487,NORTHWEST,A,ST,
AL0000321,488,SOUTHEAST,A,ST,
AL0000321,5454,TENNESSEE RIVER,A,IN,SW
AL0000321,2784,TENNESSEE RIVER + TREATMENT PLANT,A,TP,
AL0001764,6755,DISTRIBUTION SYSTEM,A,DS,
AL0001771,6762,DISTRIBUTION SYSTEM,A,DS,
AR0000004,421,CHLORINATOR AT WELL #10,A,TP,
AR0000004,2836,FORREST CITY WATERWORKS,A,DS,
AR0000004,1170,WTP #2 WELL #5,I,WL,GW
AR0000004,419,WTP #1 NEW PLANT,A,TP,
AR0000004,420,WTP #2 OLD PLANT,A,TP,
IL1190080,45808,SOUTH 0.23 MG STANDPIPE,A,ST,
AR0000360,2938,TEXARKANA WATER UTILITIES,A,DS,
AL0000329,5843,DISTRIBUTION SYSTEM,A,DS,
AL0000329,8035,LAGRANGE MOUNTAIN WATER AUTHORITY-MM 1,A,CC,GW
AL0000329,500,TANK - LOWER LAGRANGE (SP),A,ST,
KY0510189,6967,PURCHASE- KY0300450 WEST DAVIESS WD,I,CC,GW
KY0720227,6947,PURCHASE - KY0720933 LYON CO WATER,A,CC,SW
WV3304211,18890,BECKY'S CREEK TANK #2,A,ST,
WV3304211,18891,JONES RUN PRESSURE REGULATING STATION,A,PC,
WV3305204,18878,PUMP FACILITY,A,PF,
AL0001015,6292,DISTRIBUTION SYSTEM,A,DS,
AL0000277,5800,DISTRIBUTION SYSTEM,A,DS,
AL0000283,5805,DISTRIBUTION SYSTEM,A,DS,
AL0000283,7622,WEDOWEE WATER-MM 1,A,CC,SW
AL0001410,6541,DISTRIBUTION SYSTEM,A,DS,
AL0001412,8737,ASBESTOS CEMENT PIPE (4 MILES),A,OT,
AL0001412,6543,DISTRIBUTION SYSTEM,A,DS,
AL0001412,2158,TANK - #1 (SP),I,ST,
AL0001412,2159,TANK - #2 (SP),I,ST,
055293303,1790,SAMPLING SITE # 1,A,SS,
055294204,1818,SAMPLING SITE # 2,A,SS,
055294404,1802,SAMPLING SITE # 2,A,SS,
055294801,1805,SAMPLING SITE # 1,A,SS,
055294801,1806,SAMPLING SITE # 2,A,SS,
AL0000947,7206,BOAZ WATER & SEWER BOARD-MM 1,A,CC,SW
AL0000947,6251,DISTRIBUTION SYSTEM,A,DS,
AL0000947,1527,WHITESBORO TANK,A,ST,
AL0000949,6253,DISTRIBUTION SYSTEM,A,DS,
AR0000326,2909,BOONEVILLE WATERWORKS,A,DS,
AR0000326,105,TREATMENT PLANT,A,TP,
AR0000327,2910,MAGAZINE WATERWORKS,A,DS,
AR0000329,81,MASTER METER,A,TP,
AR0000329,2912,RATCLIFF WATERWORKS,A,DS,
AR0000330,2913,SCRANTON WATERWORKS,A,DS,
AR0000334,75,SUBIACO ABBEY WTP,A,TP,
AR0000334,2916,SUBIACO ACADEMY WATERWORKS,A,DS,
AR0000436,3984,GILLHAM REGIONAL,A,CC,SW
AR0000436,3005,HATFIELD WATERWORKS,A,DS,
AR0000436,306,MASTER METER,A,TP,
AL0001671,6662,DISTRIBUTION SYSTEM,A,DS,
AR0000016,2626,FOUNTAIN HILL WATERWORKS,A,DS,
AR0000016,401,WHS #1,I,TP,
AR0000016,402,WTP #1,A,TP,
AL0000295,436,"TANK #4, 300,000 GAL",A,ST,
AL0000295,2749,WELL 1 + TREATMENT PLANT,I,TP,
AL0001541,7413,ALEXANDER CITY WATER DEPARTMENT-MM 1,A,CC,SW
AL0001541,6611,DISTRIBUTION SYSTEM,A,DS,
AL0000143,258,TANK 1,A,ST,
AL0000143,3836,WELL,A,WL,GW
AL0000143,2671,WELL + TREATMENT PLANT,A,TP,
AL0001130,6372,DISTRIBUTION SYSTEM,A,DS,
AL0001131,6373,DISTRIBUTION SYSTEM,A,DS,
AL0001131,1760,NORTH TANK,A,ST,
AL0001342,6499,DISTRIBUTION SYSTEM,A,DS,
AL0001342,7331,LYNN WATER WORKS-MM 1,A,CC,SW
AL0001343,6500,DISTRIBUTION SYSTEM,A,DS,
AL0001343,8486,GIBSON HILL BPS,A,PF,
AL0001343,2088,OAKMAN 1 TANK,A,ST,
AL0001343,2089,OAKMAN 2 TANK,A,ST,
AL0001343,2090,PATTON HILL 1 TANK,A,ST,
AL0001343,8487,PENDLEY CREEK BPS,A,PF,
AL0001344,6501,DISTRIBUTION SYSTEM,A,DS,
AL0001344,2095,HATT HILL TANK,A,ST,
AL0001345,6502,DISTRIBUTION SYSTEM,A,DS,
AL0001351,6504,DISTRIBUTION SYSTEM,A,DS,
AL0001351,8507,FOXFIRE BPS,A,PF,
AL0001351,8508,JASPER BPS,I,PF,
AL0001351,2100,PICKETTS TANK,A,ST,
AL0001353,6505,DISTRIBUTION SYSTEM,A,DS,
AL0001353,7337,JASPER WATER WORKS AND SEWER BOARD-MM 1,A,CC,SW
AL0001432,6560,DISTRIBUTION SYSTEM,A,DS,
AL0001748,7646,PAINT ROCK VALLEY BPS,A,PF,
AL0001748,6739,DISTRIBUTION SYSTEM,A,DS,
AL0001748,7791,HOLLYWOOD,I,CC,GW
AL0001748,2457,WOODVILLE TANK,A,ST,
NV0000372,10655,WATER HAULER 202507-TBD WATER PROS,A,CC,SW
IL0775200,45839,CHILDCARE FACILITY LEAD SAMPLING,A,DS,
AR0000660,3172,CASA WATER DEPT,A,DS,
AL0001260,3429,AIRPORT WELL 2 (TIPTON) TREATMENT PLANT,I,TP,
AL0001260,5085,BINGHAM ST. WELL,A,WL,GW
AL0001260,6458,DISTRIBUTION SYSTEM,A,DS,
AL0001260,1971,WTP TANK,A,ST,
AL0000804,1257,FARMVILLE,A,ST,
AL0000804,1252,GLENN,A,ST,
AL0000804,1255,SUMMER HILL,A,ST,
AL0000804,7682,W. FARMVILLE (NORTHWEST),A,ST,
AL0000804,4536,WELL 2,I,WL,GU
AR0000653,3168,BRANCH WATER WORKS,A,DS,
AR0000653,4099,RATCLIFF WATERWORKS,A,CC,SW
AR0000658,3170,GILLHAM REGIONAL WATER DIST,A,DS,
AL0000583,6011,DISTRIBUTION SYSTEM,A,DS,
AL0000583,7062,GADSDEN WATER WORKS,I,CC,SW
AL0000587,6013,DISTRIBUTION SYSTEM,A,DS,
AL0000587,7063,GADSDEN-MM 1,A,CC,SW
AL0000588,7996,RICK'S,I,PF,
AL0000588,6014,DISTRIBUTION SYSTEM,A,DS,
AL0000589,6015,DISTRIBUTION SYSTEM,A,DS,
AL0001362,6512,DISTRIBUTION SYSTEM,A,DS,
CA1700609,27324,DISTRIBUTION SYSTEM,A,DS,
AL0001260,5089,SLOAN AVE. WELL,A,WL,GW
AL0001260,3427,SLOAN AVE. WELL + TREATMENT PLANT,A,TP,
AL0001260,8170,STONEHILL PS  P ,A,PF,
AL0001260,3422,TALLADEGA TREATMENT PLANT,A,TP,
CA1700609,1593,TREATMENT PLANT - ST. HELENA CREEK-TRTD,A,TP,
AZ0414095,26917,"STORAGE TANK 002 - 5,000",A,ST,
AR0000498,2560,LAKE WALDRON,A,IN,SW
AR0000498,3048,WALDRON WATERWORKS,A,DS,
AL0001671,2374,T3-N,A,ST,
AR0000680,3188,MT SHERMAN WATER ASSOCIATION,A,DS,
AR0000681,3189,MORNING STAR WATER ASSOCIATION,A,DS,
AR0000681,2081,WELL #1,I,WL,GW
AR0000681,2082,WELL #2,I,WL,GW
AL0001371,3461,WELL #3 (OAK HILL)  + TP,I,TP,
AL0000232,5765,DISTRIBUTION SYSTEM,A,DS,
AL0000232,342,ALABAMA ST. TANK,A,ST,
AL0000232,344,INDUSTRIAL PARK TANK,A,ST,
AL0000232,2698,WELL #4 WATER TREATMENT PLANT,A,TP,
AL0001274,6470,DISTRIBUTION SYSTEM,A,DS,
AZ0411129,26919,TP002 - AS,A,TP,
AL0000893,7182,OWENS CROSSROADS,I,CC,GW
AL0000949,1530,MAIN TANK 1,A,ST,
AR0000392,2965,MOUNT IDA WATERWORKS,A,DS,
AR0000392,96,TREATMENT PLANT,I,TP,
AL0000397,4082,WELL # 3 (BULLOCK WELL #2),A,WL,GW
AL0000397,2836,WELL # 3 (BULLOCK WELL #2) + TP,A,TP,
AL0001285,7302,ALEXANDER CITY WATER DEPARTMENT-MM 1,A,CC,SW
AL0001285,6477,DISTRIBUTION SYSTEM,A,DS,
AL0001432,2212,THACH TANK ELEV 100K 830 OE,I,ST,
CA2701503,62081,WELL 01 (OLD/STEEL),I,WL,GW
IL1850200,45916,TP03 - SURFACE WATER TREATMENT PLANT,A,TP,
IL1190080,45807,NORTH 0.23 MG STANDPIPE,A,ST,
VA3093850,39083,DRILLED WELL,A,WL,GW
PA1150499,301,RESTAURANT SHED,A,TP,
AR0000136,2735,MULBERRY WATERWORKS,A,DS,
AR0000404,2974,CAMDEN WATERWORKS,A,DS,
AR0000404,275,WATER TREATMENT PLANT,A,TP,
AL0001313,2054,BROADVIEW TANK,A,ST,
AL0001313,7761,CLEMENTS ROAD PUMP STATION,A,PF,
AL0001313,2055,CRESENT RIDGE TANK,A,ST,
AL0001313,3438,ED LOVE WATER TREATMENT PLANT,A,TP,
AL0000397,2837,WELL # 4 (LEON WELL) + TP,A,TP,
AL0000397,4081,WELL # 2 (NORTH WELL),A,WL,GW
AL0000397,8408,QUINT-MAR,A,CC,GW
AL0000404,5894,DISTRIBUTION SYSTEM,A,DS,
AL0001362,3448,WELL 1 TREATMENT PLANT,A,TP,
AL0001362,3449,WELL 2 TREATMENT PLANT,A,TP,
AZ0407089,118,XEPDS001,I,SS,
AZ0407089,9189,XEPDS002,I,SS,
AZ0407089,4307,XWL-55-087674 - 10,I,WL,GW
AL0000924,6232,DISTRIBUTION SYSTEM,A,DS,
AL0000924,5509,PURGATORY CREEK,A,IN,SW
AL0000925,6233,DISTRIBUTION SYSTEM,A,DS,
AL0000930,7781,CONTINENTAL HEIGHTS PUMP STATION,A,PF,
AL0000930,7778,CORRIDOR X TANK,A,ST,
AL0000930,7782,COUNTY ROAD 38 & 129 PUMP STATION,A,PF,
AL0000930,6237,DISTRIBUTION SYSTEM,A,DS,
AL0000930,7779,EAST WINFIELD PUMP STATION,A,PF,
AL0000930,4649,WELL 1,A,WL,GW
CA2400255,61801,WELL NO. 1 IRRIGATION ONLY,I,WL,GW
CA2400331,61879,WELL 1 - FRONT,A,WL,GW
CA2400331,61880,WELL 2 - BACK INACTIVE,I,WL,GW
AR0000844,3300,BEAVERFORK VOLUNTEER FD WSD,A,DS,
AR0000844,1098,CHLORINATION AT MM,A,TP,
AZ0407082,9185,EPDS001,A,SS,
AZ0407088,116,EPDS001,A,SS,
AZ0407088,9188,XEPDS006,I,SS,
AZ0407088,13350,DISTRIBUTION SYSTEM,A,DS,
AZ0407088,783,TP005 - CL2,A,TP,
AZ0407088,6499,WL-55-501288 - 7,A,WL,GW
AZ0407088,3062,XWL-55-608729,I,WL,GW
AZ0407088,7405,WL-55-608791 - 11,A,WL,GW
AL0001507,2278,TANK #3 - BARGANIER TANK,A,ST,
AL0001507,2281,TANK #6 - DEE'S TANK,A,ST,
AL0001507,3520,WELL #3 WTP,A,TP,
AZ0414314,10665,EPDS001 - YUMA LAKES,A,SS,
AZ0414322,10666,EPDS001,A,SS,
AZ0407682,9527,EPDS001,A,SS,
AZ0407682,5681,WL-55-800663 - FRIENDLY VILLAGE,A,WL,GW
AZ0407685,9529,EPDS001,A,SS,
AZ0407685,6537,WL-55-529675,A,WL,GW
AZ0407687,9530,POE001 SYSTEM GENERATED - OTHER,I,OT,
AZ0407687,5591,WL-55-510719 - WELL #1,I,WL,GW
AZ0407701,4150,WL-55-613067- SOUTH,A,WL,GW
AZ0407701,4091,WL-55-613066 - NORTH,A,WL,GW
AL0000262,390,COUNTY LINE TANK,A,ST,
AL0000262,5787,DISTRIBUTION SYSTEM,A,DS,
AL0000262,393,HIGHWAY 43 TANK #1,A,ST,
AL0000262,394,INDUSTRIAL PARK TANK,A,ST,
AL0000262,6936,PINE HILL,I,CC,SW
AL0000264,5789,DISTRIBUTION SYSTEM,A,DS,
AL0000264,398,BLUFF SPRINGS RD. TANK,I,ST,
AL0000268,6941,CLAY COUNTY WATER AUTHORITY-MM 1,A,CC,SW
AL0000268,401,CONCRETE TANK,I,ST,
AL0000268,5792,DISTRIBUTION SYSTEM,A,DS,
AL0000268,402,WELLBORN TANK,A,ST,
AL0000270,5794,DISTRIBUTION SYSTEM,A,DS,
AL0000270,405,TANK,I,ST,
AZ0407711,9538,EPDS001,A,SS,
AZ0407711,15010,DISTRIBUTION SYSTEM,A,DS,
AZ0407713,169,EPDS001,A,SS,
AZ0407713,1695,TP001 - CL2,A,TP,
AZ0407713,7654,WL-55-576702,A,WL,GW
AZ0407720,9541,EPDS001,A,SS,
AZ0407732,9543,EPDS001,A,SS,
AZ0407733,9544,EPDS001,A,SS,
AZ0407733,3903,XWL-55-802145,I,WL,GW
AZ0407736,9545,EPDS001,A,SS,
AZ0407736,7821,WL-55-629184,A,WL,GW
AZ0407745,9550,EPDS002,A,SS,
AZ0407745,13516,DISTRIBUTION SYSTEM,A,DS,
AR0000190,478,CHLORINATION AT MM,A,TP,
AR0000190,2786,DAMASCUS WATER WORKS,A,DS,
AR0000190,3856,MM FROM COMMUNITY WATER,A,CC,SW
AR0000191,2787,GREENBRIER WATERWORKS,A,DS,
AR0000193,494,BOOSTER CHLORINATION,A,TP,
AR0000193,2789,MAYFLOWER WATERWORKS,A,DS,
AR0000196,477,MASTER METER ON HWY 25,A,TP,
AR0000196,2791,WOOSTER WATERWORKS,A,DS,
AZ0407392,9454,EPDS001,A,SS,
UTAH29062,12822,COLE CANYON CHLORINATOR,A,TP,
AZ0414345,14878,DISTRIBUTION SYSTEM,A,DS,
AZ0414345,1094,TP001,A,TP,
AL0001507,6597,DISTRIBUTION SYSTEM,A,DS,
AL0001507,8566,GEORGIANA ACADEMY,A,CC,GW
AL0001507,7391,GREENVILLE,A,CC,GW
AL0001507,7393,PINE APPLE,A,CC,GW
AL0001507,8420,QUINT-MAR,A,CC,GW
AR0000885,3333,BENTON COUNTY WATER AUTHORITY2,A,DS,
AR0000885,4278,2 TON MM,A,CC,SW
AR0000887,3335,BODCAW RURAL WATER SYSTEM,A,DS,
AR0000887,1151,HOPE PUMP STATION,I,TP,
AR0000887,4279,HOPE WATER AND LIGHT,A,CC,SW
AZ0413513,10632,EPDS001,A,SS,
AZ0413513,15385,DISTRIBUTION SYSTEM,A,DS,
AZ0414361,10667,EPDS001,A,SS,
AZ0414361,3690,WL-55-541287,A,WL,GW
AZ0414363,383,EPDS001,A,SS,
AZ0414363,7206,WL-55-808686 - T,A,WL,GW
AZ0414367,10670,EPDS001,A,SS,
AZ0414367,10671,XEPDS002,I,SS,
AZ0414367,13196,DISTRIBUTION SYSTEM,A,DS,
AZ0414367,3722,WL-55-808685 - H,A,WL,GW
TX1650137,112640,"4815 E HWY 80, MIDLAND",I,SS,
OR4195429,23480,EP FOR WELL,A,SS,
AZ0407400,9456,XEPDS002,I,SS,
AZ0407401,9457,EPDS001,A,SS,
AZ0407401,1752,TP001 - CL2,A,TP,
AZ0407401,3913,WL-55-806873,A,WL,GW
AZ0407410,9458,EPDS001,A,SS,
AZ0402382,8734,EPDS001,A,SS,
AZ0402390,8737,EPDS001,A,SS,
AZ0407096,9295,EPDS020,A,SS,
AZ0407096,9299,XEPDS024,I,SS,
AL0000804,7143,OPELIKA,A,CC,SW
AZ0413025,6841,WL-55-609075 - 7,A,WL,GW
AZ0413026,10379,EPDS001,A,SS,
AZ0413027,313,EPDS001,A,SS,
AZ0413027,6876,WL-55-619394 - WELL #2,A,WL,GW
AZ0413027,6551,WL-55-806391 - WELL #1 MINESHAFT,A,WL,GW
AZ0413027,6875,XWL-55-806392- WELL #3,I,WL,GW
AZ0404006,16214,TP005 - CL2,A,TP,
AZ0404006,16215,TP006 - CL2,A,TP,
AZ0404006,3591,WL-55-603962 - 11,A,WL,GW
AZ0404006,4173,XWL-55-616680 - 9,I,WL,GW
AZ0401022,8522,EPDS001,A,SS,
AZ0401022,15417,DISTRIBUTION SYSTEM,A,DS,
AZ0402043,8669,EPDS001,A,SS,
AZ0402043,1287,TP001 - CL2 HAND,A,TP,
AL0000551,5985,DISTRIBUTION SYSTEM,A,DS,
AL0000551,778,TANK FARM 2,I,ST,
AL0000551,780,TANK FARM 4,I,ST,
AL0000804,6166,DISTRIBUTION SYSTEM,A,DS,
AL0000804,3109,JAMES ESTES WTP,A,TP,
AL0001088,8734,ASBESTOS CEMENT PIPE,A,OT,
AL0001088,6342,DISTRIBUTION SYSTEM,A,DS,
AL0001088,1695,TANK - AIKEN MOUNTAIN (G),A,ST,
AZ0407096,8460,EPDS029,A,CW,
AZ0407096,9302,EPDS030,A,SS,
NM3501921,13839,TP #4A (MIOX),A,TP,
AZ0404341,9019,EPDS002,A,SS,
AZ0404356,16952,EPDS001,A,SS,
AZ0407078,5406,XWL-55-607658 - 1,I,WL,GW
AZ0407096,15428,DISTRIBUTION SYSTEM,A,DS,
AZ0407096,3020,XWL-55-532530 - STONE,I,WL,GW
AZ0407096,6613,XWL-55-537968 - OLIVE,I,WL,GW
AZ0407096,7511,XWL-55-565168 - 71ST CANAL-B,I,WL,GW
AZ0407096,7633,XWL-55-565552 - SPORTS COMPLEX,I,WL,GW
AZ0407096,7675,XWL-55-565555 - 91ST OLIVE,I,WL,GW
AZ0408701,959,TP001,A,TP,
AZ0413363,2397,WL-55-803009 - 1,A,WL,GW
AL0001716,2415,TANK - BLUE HARBOR (SP),A,ST,
AL0001722,6713,DISTRIBUTION SYSTEM,A,DS,
AL0001722,2426,ELEVATED TANK,A,ST,
AL0001163,8679,CHANDALAR WTP - CLEARWELL 1,A,CW,
AL0001163,6393,DISTRIBUTION SYSTEM,A,DS,
AL0001163,4993,WELL 10 HEATHER RIDGE WELL,A,WL,GW
AL0001163,8661,PF001 - WEATHERLY BOOSTER,A,PF,
AL0001163,8662,PF002 - 119 BOOSTER (INDIAN SPRINGS),A,PF,
AL0001163,4986,WELL 3 INDIAN HILL WELL 2,A,WL,GW
AL0001163,4987,WELL 4 INDIAN HILL WELL 1,A,WL,GW
AL0001164,6394,DISTRIBUTION SYSTEM,A,DS,
AL0001164,7263,SHELBY COUNTY COMMISSION-WATER SER-MM 1,A,CC,SW
AL0001088,1693,TANK - PRICEVILLE (G),A,ST,
AL0001089,6343,DISTRIBUTION SYSTEM,A,DS,
AL0001089,7236,N E MORGAN W A,A,CC,SW
AL0000899,8055,BUILDING #126 BPS,A,PF,
AL0000899,6215,DISTRIBUTION SYSTEM,A,DS,
AL0000899,1405,TANK_002,I,ST,
AR0000789,3264,CHERRY HILL PUBLIC FACILITY BD,A,DS,
IL0510200,46019,SCHOOL LEAD SAMPLING,A,DS,
AL0000899,1408,TANK_005,I,ST,
AL0000899,1410,TANK_007,I,ST,
AL0000899,7789,TANK_013,A,ST,
AL0000899,3167,TENNESSEE RIVER-PLANT 1 + TREATMENT PLAN,A,TP,
AL0000899,3168,TENNESSEE RIVER-PLANT 3 + TREATMENT PLAN,A,TP,
AL0000904,6217,DISTRIBUTION SYSTEM,A,DS,
AL0000904,8514,HUNTSVILLE UTILITIES-MM 1,I,CC,SW
AL0000904,7188,MADISON COUNTY WATER DEPARTMENT-MM 1,A,CC,SW
AL0000905,6218,DISTRIBUTION SYSTEM,A,DS,
AL0000816,6172,DISTRIBUTION SYSTEM,A,DS,
AL0000816,3118,SAUGAHATCHEE WATER TREATMENT PLANT,I,TP,
AL0001002,1589,ALABAMA HIGHWAY 188 TANK,A,ST,
AL0001002,6285,DISTRIBUTION SYSTEM,A,DS,
AL0001002,4736,SONYA DRIVE WELL (#6),A,WL,GW
PA7360113,111,WELL F AND M TP,A,SS,
AL0001223,6427,DISTRIBUTION SYSTEM,A,DS,
AL0001223,5533,LAKE LOUISE,I,IN,SW
AL0001223,7740,YORK PUMP STATION,I,PF,
AL0001223,3402,YORK WATER TREATMENT PLANT,I,TP,
AL0001371,7687,BUTLER COUNTY,A,CC,GW
AL0001371,6521,DISTRIBUTION SYSTEM,A,DS,
AL0001371,3460,WELL #1 (GEES BEND)  + TP,A,TP,
AL0000804,7643,RAW WATER LINE,A,CH,
AL0000804,1254,E. UNIVERSITY DR.,I,ST,
AL0001380,6525,DISTRIBUTION SYSTEM,A,DS,
AL0001380,2134,"125,000 GAL GROUND TANK",A,ST,
AL0001380,5155,"WELL #2,  220 GPM",A,WL,GW
AL0000073,120,TANK 1,A,ST,
AL0000073,3740,WELL 2,A,WL,GW
AL0000073,2593,WELL 2 TREATMENT PLANT,A,TP,
AL0000245,5774,DISTRIBUTION SYSTEM,A,DS,
AL0001002,3223,THREE NOTCH RDAD WELL (#2) TREATMENT PLT,A,TP,
AL0001002,4733,THREE NOTCH ROAD WELL (#2),A,WL,GW
AL0001002,3224,US HIGHWAY 90-WEST (#4) TREATMENT PLANT,A,TP,
AL0000233,5766,DISTRIBUTION SYSTEM,A,DS,
AR0000798,3270,TOAD SUCK PUBLIC FACILITY BD,A,DS,
AR0000805,3277,NASHVILLE RURAL WATER ASSOC,A,DS,
AZ0413106,23872,EPDS007,A,SS,
AR0000513,3062,DISTRIBURION JAMES FORK REGIONAL WATER,A,DS,
AL0001163,8657,CC001 - SHELBY COUNTY,A,CC,SW
AL0001163,8678,CC002 - HELENA,A,CC,GW
AL0000162,2674,COLDWATER WELL TREATMENT PLANT,A,TP,
AL0000162,271,BROCK MOUNTAIN,A,ST,
AL0000162,273,SPRING STREET TANK,A,ST,
AL0001313,2065,MARTIN SPUR TANK,A,ST,
AL0001490,6587,DISTRIBUTION SYSTEM,A,DS,
AL0001490,2255,TANK 1,A,ST,
AL0001490,2257,TANK 3,A,ST,
AL0001490,3507,WELL 1 TREATMENT PLANT,I,TP,
AL0001490,5238,WELL 2,A,WL,GW
AL0001490,3509,WELL 2 TREATMENT PLANT,A,TP,
AL0001490,5237,WELL 3,A,WL,GW
AL0001490,3508,WELL 3 TREATMENT PLANT,A,TP,
AL0001313,2059,NORTH RIVER TANK,A,ST,
AL0001313,7765,RIVERCHASE PUMP STATION,I,PF,
AL0001313,2062,VA TANK,A,ST,
AL0001313,7762,YACHT CLUB PUMP STATION,A,PF,
AL0001313,2064,YACHT CLUB TANK,I,ST,
AL0001313,2061,29TH STREET TANK,A,ST,
AL0001327,6496,DISTRIBUTION SYSTEM,A,DS,
AL0001163,8658,HEATHER RIDGE WTP - CLEARWELL 1,A,CW,
AL0001163,8659,CAMPBELL RIDGE WTP - CLEARWELL 1,A,CW,
AZ0407095,5443,WL-55-629618 - CITY WELL 19,A,WL,GW
WA5318180,5725,Well #4,A,TP,
LA1017027,20706,BUYS FROM LA1017006 BLANCHARD WS,A,CC,SW
AR0000758,944,CHLORINATION AT WELL#1,I,TP,
AR0000758,3241,SDM WATER ASSOCIATION,A,DS,
AR0000765,4198,CAMDEN MM765#1-2,A,CC,SW
AR0000765,4199,CAMDEN MM765#2-2,A,CC,SW
AR0000765,3245,HWY 4 24 WATER ASSOCIATION,A,DS,
AL0000598,7073,CARBON HILL,A,CC,SW
AL0000598,6024,DISTRIBUTION SYSTEM,A,DS,
AL0000598,892,"100,000 GAL GROUND BIRCH STREET TANK",A,ST,
AL0000598,4295,"WELL #2 (RT# 73),  45 GPM",A,WL,GW
AL0000598,7072,WINFIELD,A,CC,SW
AR0000805,4233,NASHVILLE-HWY 369 METER,A,CC,SW
AL0001426,7843,WATER WORKS BOARD MONROEVILLE,A,CC,GW
AL0001426,3487,WELL 1 - TUNNEL SPRINGS TREATMENT PLANT,A,TP,
AL0001426,5193,WELL 2 - FRANKLIN,A,WL,GW
AL0001426,3488,WELL 2 - FRANKLIN TREATMENT PLANT,A,TP,
AL0001426,5194,WELL 3 - BRANTLEY SWITCH,A,WL,GW
AL0001426,3489,WELL 3 - BRANTLEY SWITCH TREATMENT PLANT,A,TP,
AR0000557,3101,NEW LONDON WATER ASSOCIATION,A,DS,
AL0000918,6228,DISTRIBUTION SYSTEM,A,DS,
AL0000918,1435,TANK 1,A,ST,
AR0000504,3053,GREENWOOD WATERWORKS,A,DS,
AL0001371,8620,PF001 - KIMBROUGH BOOSTER,A,PF,
AL0001371,8623,PF004 - CHILATCHEE CREEK BOOSTER,A,PF,
AL0001371,5145,WELL #2 (ROSEBUD),I,WL,GW
AL0001371,2129,TANK # 4 - COY (GROUND),A,ST,
AL0001371,2126,TANK # 1 - REHOBETH (GROUND),A,ST,
AL0001371,5147,WELL #5 (VREDENBURGH # 2),A,WL,GW
AL0000833,6181,DISTRIBUTION SYSTEM,A,DS,
AL0000833,3124,HORTON SPRING + TREATMENT PLANT,I,TP,
AL0000833,4550,LAWSON WELL,A,WL,GW
AL0000833,1310,PETTUSVILLE TANK,A,ST,
AL0000833,3123,WELL G-1 (ANDY KING SOURCE) + TREATMENT,I,TP,
AR0000773,3251,MILLTOWN-WASHBURN WATER USERS,A,DS,
AR0000773,4211,RATCLIFF WATERWORKS,A,CC,SW
AR0000557,1993,WELL #1,A,WL,GW
AL0001046,1638,TANK 2,A,ST,
AL0001046,3253,WELL 2 TREATMENT PLANT,A,TP,
AZ0402060,8678,EPDS001,A,SS,
AZ0402060,15502,DISTRIBUTION SYSTEM,A,DS,
